date,ticker,open,high,low,close,volume
2025-02-24,AAPL,244.925,248.86,244.42,247.1,51326396.0
2025-02-25,AAPL,248.0,250.0,244.91,247.04,48013272.0
2025-02-26,AAPL,244.33,244.98,239.13,240.36,44433564.0
2025-02-27,AAPL,239.41,242.46,237.06,237.3,41153639.0
2025-02-28,AAPL,236.95,242.09,230.2,241.84,56833360.0
2025-03-03,AAPL,241.79,244.0272,236.112,238.03,47183985.0
2025-03-04,AAPL,237.705,240.07,234.68,235.93,53798062.0
2025-03-05,AAPL,235.42,236.55,229.23,235.74,47227643.0
2025-03-06,AAPL,234.435,237.86,233.1581,235.33,45170419.0
2025-03-07,AAPL,235.105,241.37,234.76,239.07,46273565.0
2025-03-10,AAPL,235.54,236.16,224.22,227.48,72071197.0
2025-03-11,AAPL,223.805,225.8399,217.45,220.84,76137410.0
2025-03-12,AAPL,220.14,221.75,214.91,216.98,62547467.0
2025-03-13,AAPL,215.95,216.8394,208.42,209.68,61368330.0
2025-03-14,AAPL,211.25,213.95,209.58,213.49,60107582.0
2025-03-17,AAPL,213.31,215.22,209.97,214.0,48073426.0
2025-03-18,AAPL,214.16,215.15,211.49,212.69,42432426.0
2025-03-19,AAPL,214.22,218.76,213.75,215.24,54385391.0
2025-03-20,AAPL,213.99,217.4899,212.22,214.1,48862947.0
2025-03-21,AAPL,211.56,218.84,211.28,218.27,94127768.0
2025-03-24,AAPL,221.0,221.48,218.58,220.73,44299483.0
2025-03-25,AAPL,220.77,224.1,220.08,223.75,34493583.0
2025-03-26,AAPL,223.51,225.02,220.47,221.53,34532656.0
2025-03-27,AAPL,221.39,224.99,220.5601,223.85,37094774.0
2025-03-28,AAPL,221.67,223.81,217.68,217.9,39818617.0
2025-03-31,AAPL,217.005,225.62,216.23,222.13,65299321.0
2025-04-01,AAPL,219.805,223.68,218.9,223.19,36412740.0
2025-04-02,AAPL,221.315,225.19,221.02,223.89,35905904.0
2025-04-03,AAPL,205.54,207.49,201.25,203.19,103419006.0
2025-04-04,AAPL,193.89,199.88,187.34,188.38,125910913.0
2025-04-07,AAPL,177.2,194.15,174.62,181.46,160466286.0
2025-04-08,AAPL,186.7,190.335,169.2101,172.42,120859491.0
2025-04-09,AAPL,171.95,200.61,171.89,198.85,184395885.0
2025-04-10,AAPL,189.065,194.7799,183.0,190.42,121879981.0
2025-04-11,AAPL,186.1,199.54,186.06,198.15,87435915.0
2025-04-14,AAPL,211.44,212.94,201.1621,202.52,101352911.0
2025-04-15,AAPL,201.855,203.51,199.8,202.14,51343872.0
2025-04-16,AAPL,198.36,200.7,192.37,194.27,59732423.0
2025-04-17,AAPL,197.2,198.8335,194.42,196.98,52164675.0
2025-04-21,AAPL,193.265,193.8,189.8112,193.16,46742537.0
2025-04-22,AAPL,196.12,201.59,195.97,199.74,52976371.0
2025-04-23,AAPL,206.0,208.0,202.799,204.6,52929165.0
2025-04-24,AAPL,204.89,208.8299,202.94,208.37,47310989.0
2025-04-25,AAPL,206.365,209.75,206.2,209.28,38222258.0
2025-04-28,AAPL,210.0,211.5,207.46,210.14,38743074.0
2025-04-29,AAPL,208.693,212.24,208.37,211.21,36827633.0
2025-04-30,AAPL,209.3,213.58,206.6705,212.5,52286454.0
2025-05-01,AAPL,209.08,214.56,208.9,213.32,57365675.0
2025-05-02,AAPL,206.09,206.99,202.16,205.35,101010621.0
2025-05-05,AAPL,203.1,204.1,198.21,198.89,69018452.0
2025-05-06,AAPL,198.21,200.65,197.02,198.51,51216482.0
2025-05-07,AAPL,199.17,199.44,193.25,196.25,68616943.0
2025-05-08,AAPL,197.72,200.05,194.6796,197.49,50478872.0
2025-05-09,AAPL,199.0,200.5399,197.535,198.53,36453923.0
2025-05-12,AAPL,210.97,211.2679,206.75,210.79,63775814.0
2025-05-13,AAPL,210.43,213.4,209.0,212.93,51909332.0
2025-05-14,AAPL,212.43,213.94,210.5801,212.33,49325825.0
2025-05-15,AAPL,210.95,212.96,209.54,211.45,45029473.0
2025-05-16,AAPL,212.36,212.57,209.77,211.26,54737850.0
2025-05-19,AAPL,207.91,209.48,204.26,208.78,46140527.0
2025-05-20,AAPL,207.67,208.47,205.03,206.86,42496635.0
2025-05-21,AAPL,205.17,207.04,200.71,202.09,59211774.0
2025-05-22,AAPL,200.71,202.75,199.7,201.36,46742407.0
2025-05-23,AAPL,193.665,197.7,193.46,195.27,78432918.0
2025-05-27,AAPL,198.3,200.74,197.43,200.21,56288475.0
2025-05-28,AAPL,200.59,202.73,199.9,200.42,45339678.0
2025-05-29,AAPL,203.575,203.81,198.51,199.95,51477938.0
2025-05-30,AAPL,199.37,201.96,196.78,200.85,70819942.0
2025-06-02,AAPL,200.28,202.13,200.12,201.7,35423294.0
2025-06-03,AAPL,201.35,203.77,200.955,203.27,46381567.0
2025-06-04,AAPL,202.91,206.24,202.1,202.82,43603985.0
2025-06-05,AAPL,203.5,204.75,200.15,200.63,55221235.0
2025-06-06,AAPL,203.0,205.7,202.05,203.92,46607693.0
2025-06-09,AAPL,204.39,206.0,200.02,201.45,72862557.0
2025-06-10,AAPL,200.6,204.35,200.57,202.67,54672608.0
